,cluster,label,docs,# communities,# onto,frequent frames,frequent synsets,frequent framesynset triplets,frequent adj/adv w/o frame,frequent noun/verb w/o frame,communities,docss
0,0,Speed - Frequency,"owns
read paper rate Accepted External Reviewer
Review Rating has Rated Papers
Review Rejected Paper is Rated By Chair
Review is Rated By rates Writen write Paper Reviewer
has Assigned Paper Review is Rated By Accepted Chair Session To
Organisation technically Organises
Car is connected with Renting",8,6,"frame:Speed: 6
frame:Frequency: 6
","wn30:synset-rate-noun-1: 6
wn30:synset-paper-noun-1: 4
wn30:synset-review-verb-1: 4
wn30:synset-by-adverb-1: 3
wn30:synset-chair-noun-1: 2
wn30:synset-reviewer-noun-1: 2
wn30:synset-accepted-adjectivesatellite-1: 2
","wn30:synset-rate-noun-1 - frame:Speed - frame:Attributes: 6
wn30:synset-rate-noun-1 - frame:Frequency - frame:Attributes: 6
","wn30:synset-by-adverb-1: 3
wn30:synset-accepted-adjectivesatellite-1: 2
","wn30:synset-paper-noun-1: 4
wn30:synset-review-verb-1: 4
wn30:synset-chair-noun-1: 2
wn30:synset-reviewer-noun-1: 2
","inferred_Cocus-223
inferred_PCS6
inferred_edas16
inferred_MyReview-222
inferred_MyReview-220
inferred_MyReview-215
inferred_ekaw3
inferred_iasted82
","owns
read paper rate Accepted External Reviewer
Review Rating has Rated Papers
Review Rejected Paper is Rated By Chair
Review is Rated By rates Writen write Paper Reviewer
has Assigned Paper Review is Rated By Accepted Chair Session To
Organisation technically Organises
Car is connected with Renting"
1,1,Discussion,"Conference days is designed for Delegate
is held after Activity conference Conference days
is held before Conference days Activity conference",3,1,"frame:Discussion: 5
frame:Timespan: 3
frame:Calendric_unit: 3
frame:Measure_duration: 3
","wn30:synset-conference-noun-1: 5
wn30:synset-day-noun-1: 3
wn30:synset-hold-verb-3: 2
wn30:synset-activity-noun-1: 2
","wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 5
wn30:synset-day-noun-1 - frame:Measure_duration - frame:Measures: 3
wn30:synset-day-noun-1 - frame:Timespan: 3
wn30:synset-day-noun-1 - frame:Calendric_unit - frame:Location_in_time: 3
","
","wn30:synset-hold-verb-3: 2
","inferred_iasted61
inferred_iasted60
inferred_iasted62
","Conference days is designed for Delegate
is held after Activity conference Conference days
is held before Conference days Activity conference"
2,2,Organization,"Organizing committee has an organizing was of Conference volume
has a committee chair was of Chair Committee
was a committee of has commtitee Committee Conference volume
has a committee co-chair was committe of Committee Co-chair
Steering committee was a steering of has Conference volume",5,1,"frame:Organization: 8
","wn30:synset-committee-noun-1: 8
wn30:synset-angstrom-noun-1: 5
","wn30:synset-committee-noun-1 - frame:Organization - frame:Aggregate: 8
","
","wn30:synset-angstrom-noun-1: 5
wn30:synset-volume-noun-1: 3
","inferred_conference-23
inferred_conference-216
inferred_conference-217
inferred_conference-214
inferred_conference-25
","Organizing committee has an organizing was of Conference volume
has a committee chair was of Chair Committee
was a committee of has commtitee Committee Conference volume
has a committee co-chair was committe of Committee Co-chair
Steering committee was a steering of has Conference volume"
3,3,Being_named - Referring_by_name,"has Name Conference Acronym Email Person
has Room Name
Paper Conference name title
Conference Name of conference ACM SIGKDD holded by City
search searched by Name of sponsor ACM SIGKDD Sponzor
has Email Conference Program is Of Acronym Name",6,5,"frame:Being_named: 6
frame:Referring_by_name: 6
frame:Discussion: 5
frame:Seeking: 4
","wn30:synset-name-noun-1: 6
wn30:synset-conference-noun-1: 5
wn30:synset-search-verb-1: 2
wn30:synset-acronym-noun-1: 2
wn30:synset-by-adverb-1: 2
wn30:synset-electronic_mail-noun-1: 2
","wn30:synset-name-noun-1 - frame:Being_named: 6
wn30:synset-name-noun-1 - frame:Referring_by_name: 6
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 5
","wn30:synset-by-adverb-1: 2
","wn30:synset-acronym-noun-1: 2
wn30:synset-electronic_mail-noun-1: 2
","inferred_paperdyne21
inferred_linklings8
inferred_cmt-218
inferred_sigkdd12
inferred_sigkdd8
inferred_MyReview-210
","has Name Conference Acronym Email Person
has Room Name
Paper Conference name title
Conference Name of conference ACM SIGKDD holded by City
search searched by Name of sponsor ACM SIGKDD Sponzor
has Email Conference Program is Of Acronym Name"
4,4,Discussion,"end date of conference setup sets
conference setup end date of full paper submission sets
conference setup sets start date is concerned confernce end
start date of conference setup sets
sets date of notification conference setup
is concerned confernce setup conference sets date
end date of abstract submission conference setup sets
end Date Conference registration Due On manuscript",8,2,"frame:Discussion: 8
frame:Gizmo: 7
frame:Placing: 7
frame:Causation: 7
frame:Process_end: 5
","wn30:synset-conference-noun-1: 8
wn30:synset-date-noun-1: 8
wn30:synset-apparatus-noun-1: 7
wn30:synset-put-verb-1: 7
wn30:synset-end-verb-1: 5
","wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 8
wn30:synset-put-verb-1 - frame:Placing - frame:Event: 7
wn30:synset-put-verb-1 - frame:Causation - frame:Event: 7
wn30:synset-apparatus-noun-1 - frame:Gizmo: 7
wn30:synset-end-verb-1 - frame:Process_end - frame:Event: 5
","wn30:synset-along-adverb-1: 1
wn30:synset-due-adjective-1: 1
wn30:synset-abstract-adjective-1: 1
","wn30:synset-date-noun-1: 8
","inferred_confious-29
inferred_confious-229
inferred_confious-21
inferred_confious-211
inferred_confious-26
inferred_confious-222
inferred_confious-27
inferred_edas4
","end date of conference setup sets
conference setup end date of full paper submission sets
conference setup sets start date is concerned confernce end
start date of conference setup sets
sets date of notification conference setup
is concerned confernce setup conference sets date
end date of abstract submission conference setup sets
end Date Conference registration Due On manuscript"
5,5,Causation - Sending,"Contact Author Alternate Email has been sent by Submitted Paper
Contact Author has sent Submitted Paper
send sent by Activity Person
User Help Request send
group email human is sent to concerned reviewing proces
Email sended by Administrator send
is sent before Registation deadline Registration form
send Delegate Registration form is sent by
is sent before Hotel registration form Deadline hotel reservation",9,5,"frame:Causation: 12
frame:Sending: 12
","wn30:synset-send-verb-1: 12
wn30:synset-by-adverb-1: 4
wn30:synset-registration-noun-1: 3
wn30:synset-form-noun-1: 3
wn30:synset-electronic_mail-noun-1: 3
","wn30:synset-send-verb-1 - frame:Causation - frame:Event: 12
wn30:synset-send-verb-1 - frame:Sending: 12
","wn30:synset-by-adverb-1: 4
","wn30:synset-registration-noun-1: 3
wn30:synset-form-noun-1: 3
wn30:synset-electronic_mail-noun-1: 3
wn30:synset-writer-noun-1: 2
wn30:synset-deadline-noun-1: 2
wn30:synset-contact-noun-1: 2
wn30:synset-paper-noun-1: 2
","inferred_OpenConf7
inferred_OpenConf8
inferred_Cocus-21
inferred_Cocus-215
inferred_confious-236
inferred_PCS1
inferred_iasted9
inferred_iasted8
inferred_iasted79
","Contact Author Alternate Email has been sent by Submitted Paper
Contact Author has sent Submitted Paper
send sent by Activity Person
User Help Request send
group email human is sent to concerned reviewing proces
Email sended by Administrator send
is sent before Registation deadline Registration form
send Delegate Registration form is sent by
is sent before Hotel registration form Deadline hotel reservation"
6,6,Hostile_encounter,"Author Paper Proposed Conflict block Assigning To Reviewer visible By conflict
Self Conflict Paper block Assigning To Reviewer
refused By confirmes refuses Paper confirmed visible Reviewer block Assigning To Pending Proposed Conflict
Paper Confirmed Conflict Reviewer block Assigning To visible By relates
Event Approval Email confirmed by confirm",5,2,"frame:Hostile_encounter: 5
frame:Verification: 4
frame:Evidence: 4
frame:Appointing: 4
frame:Obviousness: 3
","wn30:synset-conflict-noun-1: 5
wn30:synset-reviewer-noun-1: 4
wn30:synset-paper-noun-1: 4
wn30:synset-delegate-verb-2: 4
wn30:synset-confirm-verb-1: 4
wn30:synset-block-noun-1: 4
wn30:synset-by-adverb-1: 4
wn30:synset-visible-adjective-1: 3
","wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event: 5
wn30:synset-confirm-verb-1 - frame:Verification - frame:Scrutiny: 4
wn30:synset-confirm-verb-1 - frame:Evidence: 4
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event: 4
wn30:synset-visible-adjective-1 - frame:Obviousness - frame:Attributes: 3
","wn30:synset-by-adverb-1: 4
","wn30:synset-reviewer-noun-1: 4
wn30:synset-paper-noun-1: 4
wn30:synset-block-noun-1: 4
","inferred_paperdyne14
inferred_paperdyne7
inferred_paperdyne5
inferred_paperdyne1
inferred_Cocus-29
","Author Paper Proposed Conflict block Assigning To Reviewer visible By conflict
Self Conflict Paper block Assigning To Reviewer
refused By confirmes refuses Paper confirmed visible Reviewer block Assigning To Pending Proposed Conflict
Paper Confirmed Conflict Reviewer block Assigning To visible By relates
Event Approval Email confirmed by confirm"
7,7,Political_locales,"Person has City
Conference city airport is situated in state
is occupied by situated in Delegate Conference city state restaurant
is visited by Conference building situated in Delegate state
Presenter state city is situated in university
State City is situated in
Conference hotel city state is situated in
is visited by Conference building situated in Delegate city
is situated in Conference city state equipped by Item Place",9,2,"frame:Political_locales: 15
frame:Locale_by_use: 9
frame:Discussion: 6
frame:Building: 4
","wn30:synset-in-adverb-1: 8
wn30:synset-situate-verb-1: 8
wn30:synset-city-noun-1: 8
wn30:synset-state-noun-1: 7
wn30:synset-conference-noun-1: 6
wn30:synset-by-adverb-1: 4
","wn30:synset-city-noun-1 - frame:Locale_by_use - frame:Locale: 8
wn30:synset-city-noun-1 - frame:Political_locales - frame:Locale: 8
wn30:synset-state-noun-1 - frame:Political_locales - frame:Locale: 7
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 6
","wn30:synset-in-adverb-1: 8
","wn30:synset-situate-verb-1: 8
wn30:synset-delegate-verb-1: 3
","inferred_confOf16
inferred_iasted25
inferred_iasted23
inferred_iasted26
inferred_iasted6
inferred_iasted78
inferred_iasted57
inferred_iasted28
inferred_iasted29
","Person has City
Conference city airport is situated in state
is occupied by situated in Delegate Conference city state restaurant
is visited by Conference building situated in Delegate state
Presenter state city is situated in university
State City is situated in
Conference hotel city state is situated in
is visited by Conference building situated in Delegate city
is situated in Conference city state equipped by Item Place"
8,8,Travel - Motion,"is given by Technical commitee go through Technic activity
Session chair Introduction of speaker go through
Accepting manuscript go through Final
go through Initial manuscipt Refusing manuscript",4,1,"frame:Travel: 4
frame:Motion: 4
","wn30:synset-through-adverb-1: 4
wn30:synset-travel-verb-1: 4
wn30:synset-manuscript-noun-1: 2
","wn30:synset-travel-verb-1 - frame:Travel - frame:Event: 4
wn30:synset-travel-verb-1 - frame:Motion - frame:Event: 4
","wn30:synset-through-adverb-1: 4
","wn30:synset-manuscript-noun-1: 2
","inferred_iasted72
inferred_iasted47
inferred_iasted64
inferred_iasted83
","is given by Technical commitee go through Technic activity
Session chair Introduction of speaker go through
Accepting manuscript go through Final
go through Initial manuscipt Refusing manuscript"
9,9,Intentionally_create - Cause_to_start - Coming_up_with - Building - Creating,"Review creates Paper Reviewer judges created By
Author creates changed By covered covers Paper speaks Conference Contribution Topic focuses On changes created
User created by Event take part in Person
program chair creates
chair reviewer program created by assigns reviewers to article",5,3,"frame:Intentionally_create: 7
frame:Cause_to_start: 7
frame:Coming_up_with: 7
frame:Building: 7
frame:Creating: 7
","wn30:synset-make-verb-3: 7
wn30:synset-by-adverb-1: 4
wn30:synset-reviewer-noun-1: 3
wn30:synset-chair-noun-1: 2
wn30:synset-paper-noun-1: 2
wn30:synset-cover-verb-1: 2
wn30:synset-plan-noun-1: 2
wn30:synset-change-verb-1: 2
","wn30:synset-make-verb-3 - frame:Coming_up_with: 7
wn30:synset-make-verb-3 - frame:Intentionally_create - frame:Event: 7
wn30:synset-make-verb-3 - frame:Cause_to_start - frame:Event: 7
wn30:synset-make-verb-3 - frame:Creating - frame:Event: 7
wn30:synset-make-verb-3 - frame:Building - frame:Event: 7
","wn30:synset-by-adverb-1: 4
","wn30:synset-reviewer-noun-1: 3
wn30:synset-chair-noun-1: 2
wn30:synset-paper-noun-1: 2
","inferred_paperdyne4
inferred_paperdyne18
inferred_Cocus-28
inferred_crs_dr4
inferred_crs_dr3
","Review creates Paper Reviewer judges created By
Author creates changed By covered covers Paper speaks Conference Contribution Topic focuses On changes created
User created by Event take part in Person
program chair creates
chair reviewer program created by assigns reviewers to article"
