inferred_EDM2,Preview Landing Page Web Resource Is Shown By At Object
inferred_EDM7,Happened At Event Occured Time Span Place
inferred_EDM3,Aggregated Cultural Heritage Object Aggregation Provided CHO
inferred_EDM6,Web Resource Aggregation Has View
inferred_EDM5,Provider Aggregation Agent Data
inferred_EDM1,source Has Met language has Version Incorporates Is Similar To Successor Of Derivative P79 beginning is qualified by format Collection Name coverage Format creator relation type P138 represents P67 refers to Europeana URI replaces Rights contributor date P129 about Next In Sequence publisher proxy For table Contents subject Replaced By aggregates P80 end Proxy
inferred_EDM4,Aggregated Cultural Heritage Object Europeana Aggregation Provided CHO
inferred_EDM8,Physical Thing Information Resource Is Representation Of Realizes
inferred_NOMISMA1,hasMinDepth hasIconography hasPeculiarityOfProduction hasPeculiarity hasControlmark has Material hasAppearance hasShape hasManufacture hasCollection hasWidth represents Object Type hasEdge hasSecondaryTreatment hasEndDate Max Width Die hasTypeSeriesItem hasDate hasFindspot Axis hasHeight hasMinWidth Portrait hasCorrosion hasFace hasWear hasDepth hasProductionObject Diameter Issuer hasBearsDate hasReferenceWork hasAuthority hasCountermark Context hasMaxHeight hasStartDate hasProductionDate hasFindType hasReverse hasMinHeight hasStatedAuthority hasMaxDepth hasObjectType hasWeight hasMinDiameter Mintmark hasObverse hasWeightStandard hasDenomination hasMaxDiameter hasMint Legend
inferred_NOMISMA2,StratigraphicUnit isEqual isBelow is Above
inferred_HOLDING3,holds held by Item Agent
inferred_HOLDING2,has exemplar Document narrower of Item broader
inferred_HOLDING4,Item label
inferred_HOLDING1,Document broader exemplar is examplar of narrower Item
inferred_ATLAS-OF-PATHS7,Route has route type Type
inferred_ATLAS-OF-PATHS2,Route name route length description long
inferred_ATLAS-OF-PATHS6,Route Value has length
inferred_ATLAS-OF-PATHS32,has travelling method Path Plan Temporal Entity Travelling is of trip plan best when
inferred_ATLAS-OF-PATHS3,is crossed by Route crosses Spatial Object
inferred_ATLAS-OF-PATHS5,is signposting of Signposting Path Stage has
inferred_ATLAS-OF-PATHS28,with paving Quantified Pathway Paving
inferred_ATLAS-OF-PATHS31,has sub trip plan Route estimated duration route Duration is of Trip Plan super
inferred_ATLAS-OF-PATHS19,Support Service Type has service type is support of
inferred_ATLAS-OF-PATHS4,Route has route short name
inferred_ATLAS-OF-PATHS29,Security Level is security level of has Pathway
inferred_ATLAS-OF-PATHS30,stage ordering has member number Route position in sequence precedes follows directly of stages Path Stage
inferred_ATLAS-OF-PATHS18,Path Organization is governance organ of has
inferred_ATLAS-OF-PATHS1,has alternative route Route preferred is of deviation Measurement Unit Organization Of Geometry description Type Temporal Coverage
inferred_ATLAS-OF-PATHS11,Entity follows precedes directly
inferred_ATLAS-OF-PATHS8,Route route estimated duration
inferred_ATLAS-OF-PATHS25,is maintainer of has Pathway surveillance Agent
inferred_ATLAS-OF-PATHS14,has topic Entity Topic is of
inferred_ATLAS-OF-PATHS20,is support service of has Path Stage Support Service
inferred_ATLAS-OF-PATHS9,Feature has Spatial Coverage
inferred_ATLAS-OF-PATHS10,Entity is first member of has last Sequence
inferred_ATLAS-OF-PATHS24,has nearby restaurant is of Restaurant Path Stage
inferred_ATLAS-OF-PATHS15,has alternative route is quantified pathway paving of path number Pathway Path Quantified Paving name encounters description deviation
inferred_ATLAS-OF-PATHS21,has nearby accomodation Accommodation is of Path Stage
inferred_ATLAS-OF-PATHS13,has member Entity is of Collection
inferred_ATLAS-OF-PATHS27,for pathway Pathway Path Quantified Paving has quantity of paving quantified
inferred_ATLAS-OF-PATHS16,Path has Web Site
inferred_ATLAS-OF-PATHS22,encounters path stage has last member Path Stage Pathway
