,cluster,label,# communities,# onto,frames,synsets,framesynset triplets,adj/adv w/o frame,noun/verb w/o frame,communities,docs
0,0,Occupy_rank,3,2,"frame:Occupy_rank: 3
frame:Submitting_documents: 2
frame:Inclusion: 1
frame:Type: 1
frame:Placing: 1
frame:Causation: 1
frame:Cause_to_be_included: 1
","wn30:synset-status-noun-1: 3
wn30:synset-submission-noun-1: 2
wn30:synset-title-noun-1: 1
wn30:synset-put-verb-1: 1
wn30:synset-paper-noun-1: 1
wn30:synset-by-adverb-1: 1
wn30:synset-reviewer-noun-1: 1
wn30:synset-include-verb-1: 1
wn30:synset-type-noun-1: 1
","wn30:synset-status-noun-1 - frame:Occupy_rank: 3
wn30:synset-submission-noun-1 - frame:Submitting_documents - frame:Event: 2
wn30:synset-put-verb-1 - frame:Causation - frame:Event: 1
wn30:synset-type-noun-1 - frame:Type: 1
wn30:synset-put-verb-1 - frame:Placing - frame:Event: 1
wn30:synset-include-verb-1 - frame:Inclusion: 1
wn30:synset-include-verb-1 - frame:Cause_to_be_included - frame:Event: 1
","wn30:synset-by-adverb-1: 1
","wn30:synset-title-noun-1: 1
wn30:synset-reviewer-noun-1: 1
wn30:synset-paper-noun-1: 1
","inferred_linklings12
inferred_linklings3
inferred_MyReview-25
","has Title is Type Of Submission includes Status
Reviewer is Status Set By Submission
has Status is Of Paper"
1,1,synset-review-verb-1,13,7,"frame:Giving: 2
frame:Appointing: 2
frame:Usefulness: 1
frame:Referring_by_name: 1
frame:Receiving: 1
frame:Cause_change: 1
frame:Submitting_documents: 1
frame:Hostile_encounter: 1
frame:Dimension: 1
frame:Being_named: 1
frame:Emotion_directed: 1
frame:Respond_to_proposal: 1
frame:Causation: 1
frame:Assessing: 1
frame:Duration_attribute: 1
","wn30:synset-review-verb-1: 21
wn30:synset-paper-noun-1: 10
wn30:synset-reviewer-noun-1: 5
wn30:synset-by-adverb-1: 3
wn30:synset-primary-adjective-1: 2
wn30:synset-delegate-verb-2: 2
wn30:synset-contribution-noun-2: 2
wn30:synset-evaluation-noun-2: 1
wn30:synset-angstrom-noun-1: 1
wn30:synset-value-noun-1: 1
wn30:synset-overall-adjectivesatellite-1: 1
wn30:synset-long-adjective-1: 1
wn30:synset-award-noun-1: 1
wn30:synset-positive-adjective-1: 1
wn30:synset-writer-noun-1: 1
wn30:synset-in-adverb-1: 1
wn30:synset-make-verb-2: 1
wn30:synset-conflict-noun-1: 1
wn30:synset-user-noun-1: 1
wn30:synset-length-noun-1: 1
wn30:synset-accepted-adjectivesatellite-1: 1
wn30:synset-name-noun-1: 1
wn30:synset-campaigner-noun-1: 1
wn30:synset-concerned-adjective-1: 1
wn30:synset-submit-verb-1: 1
wn30:synset-active_agent-noun-1: 1
wn30:synset-accept-verb-2: 1
wn30:synset-appropriate-adjective-1: 1
","wn30:synset-contribution-noun-2 - frame:Giving - frame:Lose_possession_scenario: 2
wn30:synset-delegate-verb-2 - frame:Appointing - frame:Event: 2
wn30:synset-submit-verb-1 - frame:Submitting_documents - frame:Event: 1
wn30:synset-length-noun-1 - frame:Dimension: 1
wn30:synset-accept-verb-2 - frame:Respond_to_proposal: 1
wn30:synset-concerned-adjective-1 - frame:Emotion_directed: 1
wn30:synset-conflict-noun-1 - frame:Hostile_encounter - frame:Event: 1
wn30:synset-name-noun-1 - frame:Referring_by_name: 1
wn30:synset-value-noun-1 - frame:Usefulness - frame:Attributes: 1
wn30:synset-accept-verb-2 - frame:Receiving - frame:Event: 1
wn30:synset-evaluation-noun-2 - frame:Assessing - frame:Cogitation: 1
wn30:synset-make-verb-2 - frame:Cause_change - frame:Event: 1
wn30:synset-name-noun-1 - frame:Being_named: 1
wn30:synset-make-verb-2 - frame:Causation - frame:Event: 1
wn30:synset-long-adjective-1 - frame:Duration_attribute: 1
","wn30:synset-by-adverb-1: 3
wn30:synset-primary-adjective-1: 2
wn30:synset-in-adverb-1: 1
wn30:synset-positive-adjective-1: 1
wn30:synset-appropriate-adjective-1: 1
wn30:synset-accepted-adjectivesatellite-1: 1
wn30:synset-overall-adjectivesatellite-1: 1
","wn30:synset-review-verb-1: 21
wn30:synset-paper-noun-1: 10
wn30:synset-reviewer-noun-1: 5
wn30:synset-award-noun-1: 1
wn30:synset-active_agent-noun-1: 1
wn30:synset-angstrom-noun-1: 1
wn30:synset-user-noun-1: 1
wn30:synset-writer-noun-1: 1
wn30:synset-campaigner-noun-1: 1
","inferred_paperdyne3
inferred_OpenConf6
inferred_OpenConf3
inferred_OpenConf4
inferred_OpenConf1
inferred_conference-29
inferred_conference-210
inferred_confious-237
inferred_PCS9
inferred_PCS8
inferred_edas15
inferred_ekaw9
inferred_ekaw10
","Review submits Paper Reviewer reviewed By is In Conflict With
Paper Review Reccommendation has
Review made by User Name Paper Reviewer has review
has Overall Paper Review Value
Long bool Paper Review is Candidate for Award appropriate length
has a review Reviewer authors Reviewed contribution Review
Review Reviewed contribution reviews
is concerned paper reviewing proces
Primary Reviewer Review assign review
Primary Reviewer Paper assigned review by Review accept
Review Rating has Active Paper
has Review Evaluated Paper
has Review Accepted Paper Positive"
2,2,Political_locales,7,2,"frame:Political_locales: 13
frame:Locale_by_use: 8
frame:Discussion: 4
frame:Buildings: 2
frame:Giving: 1
frame:People: 1
frame:Placing: 1
frame:Supply: 1
frame:Causation: 1
","wn30:synset-city-noun-1: 7
wn30:synset-in-adverb-1: 6
wn30:synset-state-noun-1: 6
wn30:synset-situate-verb-1: 6
wn30:synset-conference-noun-1: 4
wn30:synset-by-adverb-1: 2
wn30:synset-delegate-verb-1: 1
wn30:synset-hotel-noun-1: 1
wn30:synset-put-verb-1: 1
wn30:synset-donor-noun-1: 1
wn30:synset-airport-noun-1: 1
wn30:synset-university-noun-1: 1
wn30:synset-person-noun-1: 1
wn30:synset-item-noun-1: 1
wn30:synset-restaurant-noun-1: 1
wn30:synset-busy-verb-1: 1
wn30:synset-equip-verb-1: 1
","wn30:synset-city-noun-1 - frame:Political_locales - frame:Locale: 7
wn30:synset-city-noun-1 - frame:Locale_by_use - frame:Locale: 7
wn30:synset-state-noun-1 - frame:Political_locales - frame:Locale: 6
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 4
wn30:synset-restaurant-noun-1 - frame:Locale_by_use - frame:Locale: 1
wn30:synset-hotel-noun-1 - frame:Buildings - frame:Entity: 1
wn30:synset-equip-verb-1 - frame:Supply - frame:Event: 1
wn30:synset-put-verb-1 - frame:Causation - frame:Event: 1
wn30:synset-person-noun-1 - frame:People - frame:Entity: 1
wn30:synset-airport-noun-1 - frame:Buildings - frame:Entity: 1
wn30:synset-donor-noun-1 - frame:Giving - frame:Lose_possession_scenario: 1
wn30:synset-put-verb-1 - frame:Placing - frame:Event: 1
","wn30:synset-in-adverb-1: 6
wn30:synset-by-adverb-1: 2
","wn30:synset-situate-verb-1: 6
wn30:synset-delegate-verb-1: 1
wn30:synset-university-noun-1: 1
wn30:synset-item-noun-1: 1
wn30:synset-busy-verb-1: 1
","inferred_confOf16
inferred_iasted25
inferred_iasted23
inferred_iasted6
inferred_iasted78
inferred_iasted57
inferred_iasted29
","Person has City
Conference city airport is situated in state
is occupied by situated in Delegate Conference city state restaurant
Presenter state city is situated in university
State City is situated in
Conference hotel city state is situated in
is situated in Conference city state equipped by Item Place"
3,3,Process_start - Setting_out - Activity_start,10,7,"frame:Process_start: 12
frame:Setting_out: 12
frame:Activity_start: 12
frame:Discussion: 9
frame:Gizmo: 5
frame:Placing: 4
frame:Causation: 4
frame:Submitting_documents: 3
frame:Process_end: 3
frame:Arriving: 2
frame:Cause_motion: 2
frame:Self_motion: 2
frame:Impact: 2
frame:Activity_finish: 2
frame:Cause_impact: 2
frame:Request: 1
frame:Referring_by_name: 1
frame:Fullness: 1
frame:Importance: 1
frame:Purpose: 1
frame:Being_obligated: 1
frame:Being_named: 1
frame:Emotion_directed: 1
frame:Project: 1
frame:Information: 1
frame:Abounding_with: 1
frame:Evidence: 1
frame:Event: 1
frame:Activity_ready_state: 1
frame:Verification: 1
","wn30:synset-get_down-verb-7: 12
wn30:synset-conference-noun-1: 9
wn30:synset-date-noun-1: 8
wn30:synset-paper-noun-1: 5
wn30:synset-put-verb-1: 4
wn30:synset-apparatus-noun-1: 4
wn30:synset-end-verb-1: 3
wn30:synset-submission-noun-1: 3
wn30:synset-angstrom-noun-1: 2
wn30:synset-complete-verb-1: 2
wn30:synset-along-adverb-1: 2
wn30:synset-by-adverb-1: 2
wn30:synset-abstract-adjective-1: 2
wn30:synset-virtual-adjectivesatellite-1: 2
wn30:synset-review-verb-1: 2
wn30:synset-enable-verb-1: 2
wn30:synset-organize-verb-4: 2
wn30:synset-run-verb-1: 2
wn30:synset-enter-verb-1: 2
wn30:synset-reviewer-noun-1: 2
wn30:synset-print-verb-1: 2
wn30:synset-finalize-verb-1: 2
wn30:synset-event-noun-1: 1
wn30:synset-due-adjective-1: 1
wn30:synset-assignment-noun-1: 1
wn30:synset-deadline-noun-1: 1
wn30:synset-full-adjective-1: 1
wn30:synset-ready-adjective-1: 1
wn30:synset-details-noun-1: 1
wn30:synset-ending-noun-1: 1
wn30:synset-detail-noun-1: 1
wn30:synset-attest-verb-1: 1
wn30:synset-plan-noun-1: 1
wn30:synset-name-noun-1: 1
wn30:synset-meeting-noun-1: 1
wn30:synset-important-adjective-1: 1
wn30:synset-concerned-adjective-1: 1
wn30:synset-chair-noun-1: 1
wn30:synset-administrator-noun-1: 1
wn30:synset-mailing-noun-1: 1
wn30:synset-tool-noun-1: 1
wn30:synset-camera-noun-1: 1
wn30:synset-command-noun-1: 1
","wn30:synset-get_down-verb-7 - frame:Setting_out - frame:Event: 12
wn30:synset-get_down-verb-7 - frame:Activity_start - frame:Event: 12
wn30:synset-get_down-verb-7 - frame:Process_start - frame:Event: 12
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 9
wn30:synset-put-verb-1 - frame:Causation - frame:Event: 4
wn30:synset-put-verb-1 - frame:Placing - frame:Event: 4
wn30:synset-apparatus-noun-1 - frame:Gizmo: 4
wn30:synset-submission-noun-1 - frame:Submitting_documents - frame:Event: 3
wn30:synset-end-verb-1 - frame:Process_end - frame:Event: 3
wn30:synset-run-verb-1 - frame:Self_motion - frame:Event: 2
wn30:synset-run-verb-1 - frame:Cause_impact - frame:Event: 2
wn30:synset-run-verb-1 - frame:Impact: 2
wn30:synset-run-verb-1 - frame:Cause_motion - frame:Event: 2
wn30:synset-enter-verb-1 - frame:Arriving - frame:Event: 2
wn30:synset-complete-verb-1 - frame:Activity_finish - frame:Event: 2
wn30:synset-full-adjective-1 - frame:Fullness - frame:Attributes: 1
wn30:synset-concerned-adjective-1 - frame:Emotion_directed: 1
wn30:synset-full-adjective-1 - frame:Abounding_with - frame:Stateframe:Relation: 1
wn30:synset-tool-noun-1 - frame:Gizmo: 1
wn30:synset-name-noun-1 - frame:Referring_by_name: 1
wn30:synset-attest-verb-1 - frame:Verification - frame:Scrutiny: 1
wn30:synset-event-noun-1 - frame:Event - frame:State: 1
wn30:synset-details-noun-1 - frame:Information - frame:Entity: 1
wn30:synset-plan-noun-1 - frame:Purpose: 1
wn30:synset-ready-adjective-1 - frame:Activity_ready_state - frame:State: 1
wn30:synset-command-noun-1 - frame:Request - frame:Request: 1
wn30:synset-attest-verb-1 - frame:Evidence: 1
wn30:synset-assignment-noun-1 - frame:Being_obligated: 1
wn30:synset-important-adjective-1 - frame:Importance: 1
wn30:synset-name-noun-1 - frame:Being_named: 1
wn30:synset-plan-noun-1 - frame:Project: 1
","wn30:synset-along-adverb-1: 2
wn30:synset-by-adverb-1: 2
wn30:synset-abstract-adjective-1: 2
wn30:synset-virtual-adjectivesatellite-1: 2
wn30:synset-due-adjective-1: 1
","wn30:synset-date-noun-1: 8
wn30:synset-paper-noun-1: 5
wn30:synset-angstrom-noun-1: 2
wn30:synset-enable-verb-1: 2
wn30:synset-review-verb-1: 2
wn30:synset-finalize-verb-1: 2
wn30:synset-reviewer-noun-1: 2
wn30:synset-print-verb-1: 2
wn30:synset-organize-verb-4: 2
wn30:synset-chair-noun-1: 1
wn30:synset-administrator-noun-1: 1
wn30:synset-mailing-noun-1: 1
wn30:synset-deadline-noun-1: 1
wn30:synset-ending-noun-1: 1
wn30:synset-detail-noun-1: 1
wn30:synset-meeting-noun-1: 1
wn30:synset-camera-noun-1: 1
","inferred_paperdyne11
inferred_conference-226
inferred_confious-210
inferred_confious-21
inferred_confious-211
inferred_confious-212
inferred_cmt-21
inferred_sigkdd13
inferred_confOf3
inferred_edas3
","starts Program Comitee Chair organises Conference started By finishes organised finished
Important dates is a date of camera ready paper submission starting an abstract ending
sets start date of abstract submission conference setup
conference setup sets start date is concerned confernce end
start date of conference setup sets
conference setup sets start date or full paper submission of
details Entered By virtual Meeting Enabled Administrator Conference enter Review Criteria paper Assignment Tools Run run Paper hardcopy Mailing Manifests Printed review print Hardcopy Details Finalized start Reviewer Bidding reviewer Started finalize enable Virtual
Date Deadline Conference End of conference Start
ends on Event starts
Conference paper Due On has Name start Date"
4,4,Organization,6,1,"frame:Organization: 8
frame:Discussion: 4
frame:Rank: 1
frame:Quantity: 1
frame:Influence_of_event_on_cognizer: 1
","wn30:synset-committee-noun-1: 8
wn30:synset-angstrom-noun-1: 6
wn30:synset-conference-noun-1: 4
wn30:synset-volume-noun-1: 4
wn30:synset-chair-noun-1: 2
wn30:synset-predilection-noun-1: 1
wn30:synset-review-verb-1: 1
wn30:synset-guidance-noun-2: 1
wn30:synset-degree-noun-1: 1
wn30:synset-proceeding-noun-1: 1
wn30:synset-steer-verb-1: 1
","wn30:synset-committee-noun-1 - frame:Organization - frame:Aggregate: 8
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 4
wn30:synset-degree-noun-1 - frame:Quantity - frame:Dimension: 1
wn30:synset-steer-verb-1 - frame:Influence_of_event_on_cognizer: 1
wn30:synset-degree-noun-1 - frame:Rank: 1
","
","wn30:synset-angstrom-noun-1: 6
wn30:synset-volume-noun-1: 4
wn30:synset-chair-noun-1: 2
wn30:synset-predilection-noun-1: 1
wn30:synset-guidance-noun-2: 1
wn30:synset-review-verb-1: 1
wn30:synset-proceeding-noun-1: 1
","inferred_conference-23
inferred_conference-216
inferred_conference-217
inferred_conference-214
inferred_conference-224
inferred_conference-25
","Organizing committee has an organizing was of Conference volume
has a committee chair was of Chair Committee
was a committee of has commtitee Committee Conference volume
has a committee co-chair was committe of Committee Co-chair
has a degree Review preference volume Conference proceedings
Steering committee was a steering of has Conference volume"
5,5,Inclusion - Topic - Cause_to_be_included,2,2,"frame:Inclusion: 2
frame:Topic: 2
frame:Cause_to_be_included: 2
frame:Intentionally_act: 1
frame:Gizmo: 1
frame:Discussion: 1
frame:Membership: 1
frame:Purpose: 1
frame:Emotion_directed: 1
frame:Organization: 1
frame:Project: 1
","wn30:synset-include-verb-1: 2
wn30:synset-subject-noun-1: 2
wn30:synset-activity-noun-1: 1
wn30:synset-human-adjective-1: 1
wn30:synset-committee-noun-1: 1
wn30:synset-member-noun-1: 1
wn30:synset-plan-noun-1: 1
wn30:synset-apparatus-noun-1: 1
wn30:synset-conference-noun-1: 1
wn30:synset-interest-noun-1: 1
","wn30:synset-subject-noun-1 - frame:Topic: 2
wn30:synset-include-verb-1 - frame:Inclusion: 2
wn30:synset-include-verb-1 - frame:Cause_to_be_included - frame:Event: 2
wn30:synset-plan-noun-1 - frame:Purpose: 1
wn30:synset-committee-noun-1 - frame:Organization - frame:Aggregate: 1
wn30:synset-member-noun-1 - frame:Membership - frame:Being_included: 1
wn30:synset-activity-noun-1 - frame:Intentionally_act - frame:Event: 1
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 1
wn30:synset-plan-noun-1 - frame:Project: 1
wn30:synset-apparatus-noun-1 - frame:Gizmo: 1
wn30:synset-interest-noun-1 - frame:Emotion_directed: 1
","wn30:synset-human-adjective-1: 1
","
","inferred_confious-250
inferred_MICRO4
","conference setup includes topic human Program Committee member has of interest
is Included Activity Topic has"
6,6,Ordinal_numbers - Process_end - Version_sequence,3,1,"frame:Ordinal_numbers: 3
frame:Process_end: 3
frame:Version_sequence: 3
frame:Motion: 1
frame:Statement: 1
frame:Receiving: 1
frame:Text_creation: 1
frame:Travel: 1
frame:Causation: 1
frame:Respond_to_proposal: 1
frame:Cause_change: 1
","wn30:synset-manuscript-noun-1: 3
wn30:synset-concluding-adjectivesatellite-1: 3
wn30:synset-travel-verb-1: 1
wn30:synset-write-verb-1: 1
wn30:synset-make-verb-2: 1
wn30:synset-publication-noun-1: 1
wn30:synset-accept-verb-2: 1
wn30:synset-speaker-noun-1: 1
wn30:synset-through-adverb-1: 1
","wn30:synset-concluding-adjectivesatellite-1 - frame:Version_sequence: 3
wn30:synset-concluding-adjectivesatellite-1 - frame:Process_end - frame:Event: 3
wn30:synset-concluding-adjectivesatellite-1 - frame:Ordinal_numbers: 3
wn30:synset-accept-verb-2 - frame:Respond_to_proposal: 1
wn30:synset-travel-verb-1 - frame:Motion - frame:Event: 1
wn30:synset-write-verb-1 - frame:Text_creation - frame:Event: 1
wn30:synset-make-verb-2 - frame:Causation - frame:Event: 1
wn30:synset-travel-verb-1 - frame:Travel - frame:Event: 1
wn30:synset-write-verb-1 - frame:Statement: 1
wn30:synset-accept-verb-2 - frame:Receiving - frame:Event: 1
wn30:synset-make-verb-2 - frame:Cause_change - frame:Event: 1
","wn30:synset-through-adverb-1: 1
","wn30:synset-manuscript-noun-1: 3
wn30:synset-speaker-noun-1: 1
wn30:synset-publication-noun-1: 1
","inferred_iasted64
inferred_iasted65
inferred_iasted63
","Accepting manuscript go through Final
Speaker write Final manuscript
Publication Final manuscript is made from"
7,7,Event - Placing - Causation,2,2,"frame:Event: 2
frame:Placing: 2
frame:Causation: 2
frame:Locale: 1
frame:Discussion: 1
","wn30:synset-put-verb-1: 2
wn30:synset-event-noun-1: 2
wn30:synset-conference-noun-1: 1
wn30:synset-location-noun-1: 1
","wn30:synset-put-verb-1 - frame:Causation - frame:Event: 2
wn30:synset-event-noun-1 - frame:Event - frame:State: 2
wn30:synset-put-verb-1 - frame:Placing - frame:Event: 2
wn30:synset-location-noun-1 - frame:Locale - frame:Locale: 1
wn30:synset-conference-noun-1 - frame:Discussion - frame:Reciprocality: 1
","
","
","inferred_linklings19
inferred_edas8
","has Place Event
Place is Location Of has Conference Event"
8,8,Motion - Travel,4,2,"frame:Motion: 4
frame:Travel: 4
frame:Intentionally_act: 1
frame:Means: 1
frame:Submitting_documents: 1
frame:Being_obligated: 1
frame:Emotion_directed: 1
","wn30:synset-travel-verb-1: 4
wn30:synset-through-adverb-1: 4
wn30:synset-paper-noun-1: 2
wn30:synset-assignment-noun-1: 1
wn30:synset-initial-noun-1: 1
wn30:synset-manuscript-noun-1: 1
wn30:synset-activity-noun-1: 1
wn30:synset-session-noun-1: 1
wn30:synset-by-adverb-1: 1
wn30:synset-procedure-noun-1: 1
wn30:synset-introduction-noun-1: 1
wn30:synset-yield-verb-1: 1
wn30:synset-review-verb-1: 1
wn30:synset-submission-noun-1: 1
wn30:synset-concerned-adjective-1: 1
wn30:synset-chair-noun-1: 1
wn30:synset-technical-adjective-1: 1
wn30:synset-on_the_fence-adjectivesatellite-1: 1
wn30:synset-speaker-noun-1: 1
wn30:synset-refuse-verb-1: 1
","wn30:synset-travel-verb-1 - frame:Motion - frame:Event: 4
wn30:synset-travel-verb-1 - frame:Travel - frame:Event: 4
wn30:synset-concerned-adjective-1 - frame:Emotion_directed: 1
wn30:synset-activity-noun-1 - frame:Intentionally_act - frame:Event: 1
wn30:synset-submission-noun-1 - frame:Submitting_documents - frame:Event: 1
wn30:synset-procedure-noun-1 - frame:Means: 1
wn30:synset-assignment-noun-1 - frame:Being_obligated: 1
","wn30:synset-through-adverb-1: 4
wn30:synset-by-adverb-1: 1
wn30:synset-on_the_fence-adjectivesatellite-1: 1
wn30:synset-technical-adjective-1: 1
","wn30:synset-paper-noun-1: 2
wn30:synset-refuse-verb-1: 1
wn30:synset-chair-noun-1: 1
wn30:synset-session-noun-1: 1
wn30:synset-review-verb-1: 1
wn30:synset-initial-noun-1: 1
wn30:synset-speaker-noun-1: 1
wn30:synset-introduction-noun-1: 1
wn30:synset-yield-verb-1: 1
wn30:synset-manuscript-noun-1: 1
","inferred_confious-238
inferred_iasted72
inferred_iasted47
inferred_iasted83
","Undecided Paper goes through is concerned paper assignment submission process reviewing proces
is given by Technical commitee go through Technic activity
Session chair Introduction of speaker go through
go through Initial manuscipt Refusing manuscript"
9,9,Supply,2,1,"frame:Supply: 3
frame:Gizmo: 2
frame:Building_subparts: 1
frame:Using: 1
","wn30:synset-by-adverb-1: 2
wn30:synset-equipment-noun-1: 2
wn30:synset-audiovisual-noun-1: 2
wn30:synset-in-adverb-1: 1
wn30:synset-speaker-noun-1: 1
wn30:synset-session-noun-1: 1
wn30:synset-situate-verb-1: 1
wn30:synset-hearer-noun-1: 1
wn30:synset-design-verb-2: 1
wn30:synset-equip-verb-1: 1
wn30:synset-use-verb-1: 1
wn30:synset-room-noun-1: 1
","wn30:synset-equipment-noun-1 - frame:Supply - frame:Event: 2
wn30:synset-equipment-noun-1 - frame:Gizmo: 2
wn30:synset-equip-verb-1 - frame:Supply - frame:Event: 1
wn30:synset-use-verb-1 - frame:Using - frame:Event: 1
wn30:synset-room-noun-1 - frame:Building_subparts: 1
","wn30:synset-by-adverb-1: 2
wn30:synset-in-adverb-1: 1
","wn30:synset-audiovisual-noun-1: 2
wn30:synset-speaker-noun-1: 1
wn30:synset-session-noun-1: 1
wn30:synset-situate-verb-1: 1
wn30:synset-hearer-noun-1: 1
wn30:synset-design-verb-2: 1
","inferred_iasted33
inferred_iasted31
","is situated in Audiovisual equipment Listener equipped by designed for Session room
Speaker is used by Audiovisual equipment"
